d1,d2,type,split,Neg samples
DB06716,DB00215,48,DB01418$t
DB09068,DB00952,48,DB08922$h
DB09238,DB06268,59,DB08918$t
DB00696,DB00635,48,DB06804$t
DB00860,DB00246,46,DB04898$t
DB00203,DB00544,46,DB09224$h
DB00802,DB00645,48,DB00255$t
DB00313,DB00645,48,DB00334$t
DB01551,DB01209,48,DB11641$t
DB06410,DB01070,48,DB03585$h
DB01221,DB01154,48,DB00346$h
DB00996,DB01558,48,DB06739$t
DB01175,DB00254,46,DB01141$t
DB06684,DB00857,46,DB06824$h
DB00479,DB00681,56,DB01203$h
DB00209,DB00908,48,DB06782$h
DB00514,DB01264,72,DB00920$t
DB08912,DB08903,74,DB01329$h
DB00316,DB08933,72,DB01130$h
DB00497,DB08922,48,DB01298$h
DB08903,DB01075,19,DB00203$t
DB01037,DB01211,46,DB00487$h
DB00795,DB00288,48,DB00181$h
DB09286,DB00755,48,DB00803$h
DB01224,DB01612,48,DB00603$t
DB01075,DB08922,48,DB04930$t
DB01708,DB00619,46,DB09041$t
DB01359,DB00184,48,DB09211$t
DB00266,DB01039,5,DB00387$h
DB00741,DB00255,72,DB00931$t
DB09262,DB01254,72,DB00884$t
DB01043,DB00209,69,DB01144$h
DB01020,DB00246,46,DB06213$t
DB00933,DB09085,48,DB01103$t
DB00384,DB06196,36,DB06696$t
DB01132,DB00705,46,DB00788$t
DB00298,DB04841,48,DB00142$t
DB00358,DB09074,46,DB13231$t
DB00655,DB08933,72,DB00395$t
DB00988,DB01151,46,DB00642$h
DB01136,DB04552,36,DB00951$h
DB06603,DB01211,72,DB00209$t
DB00263,DB00691,19,DB13747$t
DB00604,DB06697,72,DB09137$h
DB00475,DB00752,46,DB08814$h
DB09241,DB01170,59,DB05246$t
DB04953,DB00557,15,DB08967$t
DB00477,DB06292,48,DB00179$t
DB00555,DB01397,48,DB00323$t
DB01197,DB00795,48,DB04898$h
DB01209,DB01320,48,DB06764$t
DB00829,DB00283,46,DB01511$h
DB00821,DB00896,48,DB00841$h
DB09345,DB04841,48,DB00783$h
DB00339,DB08820,72,DB00255$t
DB00906,DB08910,48,DB11641$h
DB00788,DB00620,48,DB00911$h
DB08881,DB01189,19,DB00496$t
DB00921,DB00543,15,DB08869$h
DB00933,DB00422,48,DB01256$t
DB00575,DB01263,46,DB01066$t
DB05271,DB00755,48,DB00246$t
DB00482,DB00289,46,DB06154$h
DB00690,DB01081,48,DB00310$h
DB04842,DB09085,48,DB08899$t
DB00956,DB09054,72,DB01084$h
DB00524,DB12278,72,DB00434$t
DB00360,DB06237,59,DB06810$t
DB00755,DB12332,46,DB01254$t
DB00193,DB01018,48,DB01047$h
DB00543,DB00471,69,DB00932$t
DB01614,DB04846,59,DB13872$t
DB00276,DB01156,46,DB00604$t
DB06738,DB00215,46,DB00186$t
DB00694,DB01250,71,DB08934$h
DB00339,DB01026,46,DB04842$t
DB01175,DB09065,72,DB00276$t
DB00883,DB00887,48,DB00446$t
DB00317,DB08933,72,DB01024$h
DB01367,DB00528,59,DB01102$t
DB00748,DB06595,46,DB01294$t
DB00559,DB00588,74,DB01202$t
DB09270,DB00759,72,DB04576$t
DB00312,DB01106,48,DB00479$h
DB09118,DB12001,48,DB04878$h
DB00374,DB00808,59,DB09343$t
DB00266,DB01182,72,DB09053$h
DB00603,DB06228,69,DB01006$h
DB00724,DB09167,46,DB00920$h
DB00425,DB00544,46,DB08883$h
DB01058,DB01149,46,DB01656$t
DB00294,DB01167,46,DB01438$t
DB04898,DB09216,5,DB01400$h
DB09017,DB00747,48,DB00673$h
DB00680,DB11609,59,DB00938$h
DB00615,DB01129,3,DB09143$h
DB00899,DB01615,48,DB08913$h
DB00757,DB00544,46,DB11586$t
DB00945,DB09280,72,DB00747$t
DB00199,DB09048,72,DB00927$h
DB00458,DB01072,46,DB09396$t
DB01098,DB00169,46,DB00519$h
